id,title,image_url,author,description,genre_id,created_at,updated_at
31,ブラック・ラグーン,https://img.papy.co.jp/sc/item/cover/9-375887-c400.jpg?renta,広江礼威,岡島緑郎は旭日重工の会社員。重要なディスクを、ボルネオ支社まで船で運ぶ役目を担っている。だがその途中、「ブラック・ラグーン」と名乗る4人組に襲われ、緑郎は人質に取られてしまった。ブラック・ラグーンは、クライアントからの注文を忠実にこなす裏社会の運び屋だ。旭日重工は、東南アジアへの非合法ルートを使って密貿易をしていて、クライアントは、自分たちもそれに一枚噛ませろと要求しているのだった。旭日重工は機密を守るため、ディスクも緑郎も海の藻屑にしてしまおうと、ブラック・ラグーンの乗る船に攻撃を始める…,32,20190731,20190731
32,マリッジパープル,https://img.papy.co.jp/sc/item/cover/9-605228-c400.jpg?renta,林みかせ,憧れの高校に入学した凛は、理不尽な暴君・諭吉と3年ぶりに再会。昔から何かと絡んでくる諭吉をやり過ごそうと差し出された紙に名前を書くと……　なんと、それは婚姻届だった！　返してもらう条件は「3年間オレの側から逃げない」こと。暴君に捕まった凛の運命は――！？,33,20190731,20190731
33,鬼島さんと山田さん,https://img.papy.co.jp/sc/item/cover/9-609022-c400.jpg?renta,星見ＳＫ,人の心の声が聞こえてしまう鬼島さんと、心の声がとってもさわがしい山田さん。自分へと向けられる山田さんの全力の恋心が聞こえてしまう職場での日々を過ごすうち、いつの間にかその明るさと温かさに鬼島さんも惹かれていき――。聞こえているけど踏み出せない、でも育った気持ちは抑えれない、恋心まる聞こえラブコメディー！！,34,20190731,20190731
34,偽りのフレイヤ,https://img.papy.co.jp/sc/item/cover/9-509954-c400.jpg?renta,石原ケイコ,男女入れ替わり　白泉社の王道大河ファンタジー、開幕！大国の脅威に怯えるテュール王国――…。小村の少女・フレイヤは病弱な母と二人、騎士となった二人の幼馴染の帰郷を待ちわびていた。だが、久しぶりに帰郷した幼馴染・アーロンは、その命を隣国から狙われているという…。アーロンの命を守るべく忍びこんだ城で、自分と瓜二つの容姿をもったテュール王子・エドヴァルドと出会い…？　ちっぽけな少女の運命が、大きく動き出す！,35,20190731,20190731
35,高嶺の花男くん,https://img.papy.co.jp/sc/item/cover/9-588040-c400.jpg?renta,ココハル,ごく普通のJK・遥にはヒミツがある。それは、同じクラスのダサメガネ男子・佐野壮汰と幼なじみでお隣どうしということ。しかも、ダサい佐野は仮の姿で、本当は大人気モデルなのだ。「今までずっと隣にいたのに」──昔から知る幼なじみの素顔と、人気モデルとしての顔。知れば知るほど“好き”が募るのに、君を遠く感じるのはどうして…？ 幼なじみ→人気モデル×JKの胸きゅん必至な純愛。,36,20190731,20190731
36,柚木さんちの四兄弟。,https://img.papy.co.jp/sc/item/cover/9-569627-c400.jpg?renta,藤沢志月,未体験ファミリーグラフィティ、開幕！柚木さんちは隼（はやと）、尊（みこと）、湊（みなと）、岳（がくと）の4人兄弟。長男の隼を中心に毎日を楽しく、忙しく力一杯暮らしています。そんな生活の中、家庭で、学校で、ご近所で巻き起こる涙と笑いと感動のドラマお届けします！,37,20190731,20190731
37,ねねね,https://img.papy.co.jp/sc/item/cover/9-465042-c400.jpg?renta,徒々野雫,16歳の小雪が嫁ぐことになったのは、狐のお面で顔を隠している20以上も年上の清さん。なんとか年の差を埋めたい小雪だけど、清さんにはもう一つ隠し事があるようで…？　ねんねな二人がおくる初恋よりピュアな桃色新婚譚！,38,20190731,20190731
38,真夜中のオカルト公務員,https://img.papy.co.jp/sc/item/cover/9-530557-c400.jpg?renta,たもつ葉子,東京23区全ての区役所に人知れず存在する“夜間地域交流課”。そこは“オカルト的事象”を解決する、特殊な課だった。そこに配属された社会人一年生の宮古新。新宿御苑で会った天狗に「安倍晴明だ」と言われ！？,39,20190731,20190731
39,囚獄エリート,https://img.papy.co.jp/sc/item/cover/9-334811-c400.jpg?renta,拓平,矯正（強制）バトル開始。少年矯正教育院。あらゆる凶悪犯罪者が集まるというこの施設に収容される事になってしまった少年A。殺人罪で収容されたAだが、本人の身に覚えはなく……。収容者は度々国に“使われている”という黒い噂のあるこの施設で彼は生き残れるのか――。頭脳派曲者×体力バカによる悪いコ矯正バトル！,40,20190731,20190731
40,王室教師ハイネ,https://img.papy.co.jp/sc/item/cover/9-268842-c400.jpg?renta,赤井ヒガサ,“王室教師”…それは王子専属の家庭教師――。新たに王室教師となったハイネだったが、出会った４人の王子達は揃いも揃って厄介者ばかりで…!?　王子と先生が、共に歩み、共に成長するロイヤルコメディ,41,20190731,20190731
41,さみしいひと,https://img.papy.co.jp/sc/item/cover/9-317650-c400.jpg?renta,斎藤けん,会社をクビになった日に出会った女性から「私の代わりに弟を守って」と頼まれた倫子。弟＝諒はピアニストを目指す少年だった……。,42,20190731,20190731
42,プロミス・シンデレラ,https://img.papy.co.jp/sc/item/cover/9-510883-c400.jpg?renta,橘オレコ,つつましく、平穏な暮らしを送る専業主婦の早梅。彼女の前に現れたのは、性格の悪そうな金持ちの男子高生・壱成。この男との出会いが早梅の平穏を一変させる…。“人生”に必要なのは愛か、金か、それとも運か――！？銭が繋ぐ、専業主婦と男子高生の“リアル人生ゲーム”がはじまる――！！,43,20190731,20190731
43,トライナイツ,https://img.papy.co.jp/sc/item/cover/9-617170-c400.jpg?renta,TRYKNIGHTSUNION,高校一年生の遥馬理久はある日、通りかかったグラウンドで、ラグビー部の練習で走っていた狩矢光の姿に惹きつけられ、思わずアドバイスを伝える。次の日から光は理久を執拗にラグビー部に入れと誘ってきて――…？,44,20190731,20190731
